k,n_samples,n_failures,success_rate,latency_ms_mean,latency_ms_std,tokens_per_sec_mean,tokens_per_sec_std,acceptance_rate_mean,acceptance_rate_std,proposed_mean,proposed_std,accepted_mean,accepted_std,device,dtype
1,100,0,1.0,3743.069145679474,1031.391136651302,17.237064414756684,4.956760041339974,0.21380766539685228,0.12434462171859986,178.17,47.97813147674678,34.73,11.482904684791214,cuda,float16
2,100,0,1.0,3904.5151233673096,908.7655849383491,17.659595490395446,5.665170409484266,0.22717146970274585,0.14199652523937428,184.34,40.44235898164201,36.36,10.327168053246737,cuda,float16
3,100,0,1.0,3916.339964866638,976.4999993680251,17.532067924993967,5.962294508108443,0.22282122540196592,0.15055922985977357,184.21,43.053291395664516,35.32,11.516839844332297,cuda,float16
4,100,0,1.0,3870.669038295746,1012.9343647592071,17.22053407877977,4.957002834923572,0.21879699293868868,0.12708113113349517,182.03,45.40296355966205,35.24,11.69796563510083,cuda,float16
