k,n_samples,n_failures,success_rate,latency_ms_mean,latency_ms_std,tokens_per_sec_mean,tokens_per_sec_std,acceptance_rate_mean,acceptance_rate_std,kv_appended_tokens_mean,kv_appended_tokens_std,kv_append_time_ms_mean,kv_append_time_ms_std,proposed_mean,proposed_std,accepted_mean,accepted_std,device,dtype
1,20,0,1.0,3607.33585357666,761.8718633360135,9.522842564806302,3.4747112050863915,0.1683276041847144,0.15016883388891217,0.0,0.0,0.0,0.0,104.5,18.3698121928342,14.95,5.490673911279015,mps,float16
2,20,0,1.0,3874.778711795807,351.10803117100915,8.32996808778008,0.7922170165584227,0.12886640243528652,0.04226912373088446,0.0,0.0,0.0,0.0,109.5,8.874119674649425,13.8,3.7094473981982814,mps,float16
3,20,0,1.0,3310.0069761276245,521.5236183561153,9.76948488240493,1.5277309228351743,0.1810418507086922,0.0707892971549753,0.0,0.0,0.0,0.0,96.95,15.13761870308537,16.6,3.9420806688854046,mps,float16
4,20,0,1.0,3501.3834714889526,542.020463085401,9.415248006237013,1.8163389485163668,0.179956077057417,0.08749760708091851,0.0,0.0,0.0,0.0,101.0,15.588457268119896,16.85,4.530728418256826,mps,float16
