k,n_samples,n_failures,success_rate,latency_ms_mean,latency_ms_std,tokens_per_sec_mean,tokens_per_sec_std,acceptance_rate_mean,acceptance_rate_std,kv_appended_tokens_mean,kv_appended_tokens_std,kv_append_time_ms_mean,kv_append_time_ms_std,proposed_mean,proposed_std,accepted_mean,accepted_std,device,dtype
1,20,0,1.0,3870.94407081604,630.2475235634355,8.444777510166361,1.1373310660508542,0.11097737610688863,0.03862657429616354,12.0,2.792848008753788,26.073038578033447,6.699210712560447,111.9,11.427598172844545,12.0,2.792848008753788,mps,float16
2,20,0,1.0,3710.4385375976562,198.71501333541852,8.648575469735205,0.45413931234553345,0.09869259362556584,0.022704416422447155,11.25,2.384848003542364,25.080597400665283,6.707687407509897,114.55,4.609501057598317,11.25,2.384848003542364,mps,float16
3,20,0,1.0,3539.362633228302,312.4684693974038,8.882460833358065,0.42923407277162723,0.10195448295566864,0.020161565156803913,11.4,2.353720459187964,27.50295400619507,7.191415229499764,112.0,10.848963084092414,11.4,2.353720459187964,mps,float16
4,20,0,1.0,3514.308476448059,280.55662230304597,9.163087741073547,0.721899907105786,0.10251865685422087,0.02944986939349867,11.3,2.511971337416094,24.95356798171997,5.374296936759698,112.6,9.1727858363749,11.3,2.511971337416094,mps,float16
