k,n_samples,n_failures,success_rate,latency_ms_mean,latency_ms_std,tokens_per_sec_mean,tokens_per_sec_std,acceptance_rate_mean,acceptance_rate_std,kv_appended_tokens_mean,kv_appended_tokens_std,kv_append_time_ms_mean,kv_append_time_ms_std,proposed_mean,proposed_std,accepted_mean,accepted_std,device,dtype
1,20,0,1.0,3380.631446838379,692.9751799758291,9.809769561346698,1.7750023679988027,0.17818693056408436,0.08766527463810027,0.0,0.0,0.0,0.0,98.5,14.994999166388773,16.3,4.88978527135906,mps,float16
2,20,0,1.0,3304.3137788772583,575.4270916775022,10.1018906764244,2.4989971156739226,0.1896237009002106,0.11791562216682368,0.0,0.0,0.0,0.0,99.0,17.927632303235136,16.75,5.078139423056441,mps,float16
3,20,0,1.0,3490.867555141449,426.5786360431523,9.32103592572427,1.2760844979010026,0.17161702775558751,0.06973196632093956,0.0,0.0,0.0,0.0,101.45,12.990284831365322,16.55,4.329838334164452,mps,float16
4,20,0,1.0,3701.8672585487366,382.84982458194924,8.746636352542572,1.0026921505053752,0.1407778502568596,0.04626093368022489,0.0,0.0,0.0,0.0,106.65,10.011368537817395,14.6,3.52703841770968,mps,float16
