k,n_samples,n_failures,success_rate,latency_ms_mean,latency_ms_std,tokens_per_sec_mean,tokens_per_sec_std,acceptance_rate_mean,acceptance_rate_std,kv_appended_tokens_mean,kv_appended_tokens_std,kv_append_time_ms_mean,kv_append_time_ms_std,proposed_mean,proposed_std,accepted_mean,accepted_std,device,dtype
1,20,0,1.0,18582.388401031494,2689.122484025739,6.988195056229015,0.7003057935144038,0.09718280627624318,0.015084604957135728,44.15,5.1795270054320595,117.14143753051758,14.667190185351107,456.65,17.44211856398184,44.15,5.1795270054320595,mps,float16
2,20,0,1.0,16631.178736686707,3734.769587860235,7.444317193719302,0.5634627149198667,0.09255078117248387,0.01713409382264884,40.2,10.220567498920987,118.40043067932129,35.93433323536338,442.55,92.92926073094523,40.2,10.220567498920987,mps,float16
3,20,0,1.0,16847.253704071045,2082.725977643711,7.693962875115571,1.279126138358857,0.11469367342490003,0.0891642760836133,46.5,16.815171720800237,123.77728223800659,21.613762868854018,445.45,53.823298858394026,46.5,16.815171720800237,mps,float16
4,20,0,1.0,16234.745717048645,3578.445314274158,7.545199000049581,0.5993036163591816,0.09406392808123688,0.015174906397042809,40.3,8.60871651293037,114.07911777496338,26.567309280137167,435.7,86.56795018943211,40.3,8.60871651293037,mps,float16
