k,n_samples,latency_ms_mean,latency_ms_std,tokens_per_sec_mean,tokens_per_sec_std,acceptance_rate_mean,acceptance_rate_std,proposed_mean,proposed_std,accepted_mean,accepted_std
1,100,5553.612544536591,890.5849382660159,5.899797130766965,1.1164288352692853,0.1561524619455579,0.08849116160821495,103.91,15.340205344127568,14.98,4.523228935174518
2,100,5141.062574386597,775.738925727265,6.345685420688717,1.0394325866839578,0.15568918505791818,0.07521918447674578,103.63,14.350369333226237,15.14,4.135262990427574
3,100,5310.527114868164,884.035865894761,6.228330485887872,1.3783639059332617,0.16523626894345864,0.09516484885698347,102.61,16.316798092763175,15.49,5.014967597103694
4,100,5392.22642660141,1092.0769958627359,5.950862248998671,1.2407331848744716,0.16581049905771245,0.10194559753674069,100.38,21.437714430414452,15.47,5.3431357834140805
